location,lat,lon,neighborhood,city
1 W Exchange St,41.8251262,-71.4171345,Downtown Providence,Providence
157 Webster Ave,41.8114289,-71.4499869,Silver Lake,Providence
153 Benefit St,41.8291968,-71.4082299,College Hill,Providence
381 Smith St,41.834819,-71.4242079,Smith Hill,Providence
100 Dorrance St,41.823027,-71.4103477,Downtown Providence,Providence
223 Oakland Ave,41.84032,-71.428595,Elmhurst,Providence
55 Eaton St,41.84129060000001,-71.4295242,Wanskuck,Providence
40 Dorchester Ave,41.811934,-71.451931,Silver Lake,Providence
1 Pennsylvania Ave ,41.7979914,-71.4117423,Lower South Providence,Providence
Chad Brown St At Pembroke Ave,41.8391171,-71.43023720000001,Elmhurst,Providence
57 Huxley Ave,41.839554,-71.433877,Elmhurst,Providence
Plainfield St At Daniel Ave,41.8124488,-71.4602266,Hartford,Providence
65 March St,41.8424849,-71.4252865,Wanskuck,Providence
593 Eddy St,41.8113929,-71.4111264,Upper South Providence,Providence
Longo St At Hartford Ave,41.81824,-71.4566959,Hartford,Providence
Chestnut St At Elm St,41.817658,-71.4089584,Jewelry District,Providence
68 Burnside St,41.8040994,-71.4116858,Lower South Providence,Providence
Clifford St At Richmond St,41.8198725,-71.4104649,Downtown Providence,Providence
Claverick St At Pine St,41.81865270000001,-71.4136927,Downtown Providence,Providence
122 Fountain St,41.82313680000001,-71.4157829,Ward 13,Providence
48 Grand St,41.8016931,-71.4324532,West End Providence,Providence
347 Angell St,41.8290015,-71.39370219999999,,Providence
Promenade St At Pleasant Valley Pkwy,41.8292571,-71.4267356,Valley,Providence
126 Linwood Ave,41.8070274,-71.435069,West End Providence,Providence
Dean St At Broadway ,41.821414,-71.42253099999999,Ward 13,Providence
20 Inkerman St,41.8368481,-71.4238938,Smith Hill,Providence
Cranston St At Hanover St,41.80949100000001,-71.4335598,West End Providence,Providence
380 Hope St,41.83670559999999,-71.4014198,Mount Hope,Providence
25 Fones ,41.827381,-71.4035639,College Hill,Providence
1315 Broad St,41.7907816,-71.4061553,Washington Park,Providence
11 Dorrance St,41.824317,-71.413276,Downtown Providence,Providence
6 Providence Pl,41.829014,-71.41592899999999,Downtown Providence,Providence
358 Broad St,41.8135852,-71.4211931,,Providence
550 Hartford Ave,41.8181477,-71.4621452,Hartford,Providence
575 Broad St,41.8083569,-71.4207989,Elmwood,Providence
279 Chad Brown St,41.840671,-71.42252599999999,Wanskuck,Providence
1 Providence Pl,41.8283682,-71.4164302,Downtown Providence,Providence
12 Health Ave,41.827995,-71.4432714,Valley,Providence
100 N Pine St ,41.821803,-71.41046399999999,Downtown Providence,Providence
89 Evergreen St,41.8447446,-71.4027813,Mount Hope,Providence
100 Francis St,41.8280955,-71.4164851,Downtown Providence,Providence
24 Miller Ave,41.7914829,-71.4081411,Washington Park,Providence
17 Kenyon St,41.8221452,-71.4238957,Ward 13,Providence
1 Princeton Ave,41.8056355,-71.4202423,Elmwood,Providence
